group_id,timestamp,target,month,quarter,season,lag_1m,lag_12m,rolling_mean_3m,rolling_mean_12m
28,2023-02-28 00:00:00+00:00,"46,640,366",2,1,1,"48,032,689","51,628,678","43,859,999","33,731,402"
28,2023-03-31 00:00:00+00:00,"48,585,097",3,1,2,"46,640,366","49,227,222","47,275,243","33,315,709"
28,2023-04-30 00:00:00+00:00,"34,064,396",4,2,2,"48,585,097","39,657,266","47,752,717","33,262,198"
28,2023-05-31 00:00:00+00:00,"25,090,954",5,2,2,"34,064,396","28,562,411","43,096,620","32,796,126"
28,2023-06-30 00:00:00+00:00,"20,515,743",6,2,3,"25,090,954","19,298,715","35,913,482","32,506,838"
28,2023-07-31 00:00:00+00:00,"19,527,032",7,3,3,"20,515,743","18,214,214","26,557,031","32,608,257"
28,2023-08-31 00:00:00+00:00,"18,436,339",8,3,3,"19,527,032","16,578,440","21,711,243","32,717,658"
28,2023-09-30 00:00:00+00:00,"21,227,396",9,3,4,"18,436,339","21,395,031","19,493,038","32,872,483"
28,2023-10-31 00:00:00+00:00,"40,590,043",10,4,4,"21,227,396","28,634,845","19,730,256","32,858,514"
28,2023-11-30 00:00:00+00:00,"50,771,617",11,4,4,"40,590,043","36,394,633","26,751,259","33,854,780"
28,2023-12-31 00:00:00+00:00,"64,684,102",12,4,1,"50,771,617","47,152,676","37,529,685","35,052,862"
28,2024-01-31 00:00:00+00:00,"73,279,382",1,1,1,"64,684,102","48,032,689","52,015,254","36,513,814"
28,2024-02-29 00:00:00+00:00,"60,044,714",2,1,1,"73,279,382","46,640,366","62,911,700","38,617,706"
28,2024-03-31 00:00:00+00:00,"48,899,551",3,1,2,"60,044,714","48,585,097","66,002,733","39,734,735"
28,2024-04-30 00:00:00+00:00,"42,312,598",4,2,2,"48,899,551","34,064,396","60,741,216","39,760,939"
28,2024-05-31 00:00:00+00:00,"26,516,088",5,2,2,"42,312,598","25,090,954","50,418,954","40,448,289"
28,2024-06-30 00:00:00+00:00,"19,952,195",6,2,3,"26,516,088","20,515,743","39,242,746","40,567,050"
28,2024-07-31 00:00:00+00:00,"20,214,416",7,3,3,"19,952,195","19,527,032","29,593,627","40,520,088"
28,2024-08-31 00:00:00+00:00,"20,645,468",8,3,3,"20,214,416","18,436,339","22,227,567","40,577,370"
28,2024-09-30 00:00:00+00:00,"22,131,869",9,3,4,"20,645,468","21,227,396","20,270,693","40,761,464"
29,2021-01-31 00:00:00+00:00,"1,959,439",1,1,1,,,,
29,2021-02-28 00:00:00+00:00,"1,903,255",2,1,1,"1,959,439",,,
29,2021-03-31 00:00:00+00:00,"1,795,175",3,1,2,"1,903,255",,,
29,2021-04-30 00:00:00+00:00,"1,787,220",4,2,2,"1,795,175",,"1,885,956",
29,2021-05-31 00:00:00+00:00,"1,680,666",5,2,2,"1,787,220",,"1,828,550",
29,2021-06-30 00:00:00+00:00,"1,353,248",6,2,3,"1,680,666",,"1,754,353",
29,2021-07-31 00:00:00+00:00,"1,474,476",7,3,3,"1,353,248",,"1,607,044",
29,2021-08-31 00:00:00+00:00,"1,441,857",8,3,3,"1,474,476",,"1,502,796",
29,2021-09-30 00:00:00+00:00,"1,618,710",9,3,4,"1,441,857",,"1,423,194",
29,2021-10-31 00:00:00+00:00,"1,601,400",10,4,4,"1,618,710",,"1,511,681",
29,2021-11-30 00:00:00+00:00,"1,576,461",11,4,4,"1,601,400",,"1,553,989",
29,2021-12-31 00:00:00+00:00,"1,817,829",12,4,1,"1,576,461",,"1,598,857",
29,2022-01-31 00:00:00+00:00,"1,671,697",1,1,1,"1,817,829","1,959,439","1,665,230","1,667,478"
29,2022-02-28 00:00:00+00:00,"1,351,830",2,1,1,"1,671,697","1,903,255","1,688,662","1,643,499"
29,2022-03-31 00:00:00+00:00,"1,307,961",3,1,2,"1,351,830","1,795,175","1,613,785","1,597,547"
29,2022-04-30 00:00:00+00:00,"1,287,283",4,2,2,"1,307,961","1,787,220","1,443,829","1,556,946"
29,2022-05-31 00:00:00+00:00,"1,309,131",5,2,2,"1,287,283","1,680,666","1,315,691","1,515,285"
29,2022-06-30 00:00:00+00:00,"1,235,202",6,2,3,"1,309,131","1,353,248","1,301,458","1,484,323"
29,2022-07-31 00:00:00+00:00,"1,330,664",7,3,3,"1,235,202","1,474,476","1,277,205","1,474,486"
29,2022-08-31 00:00:00+00:00,"1,167,876",8,3,3,"1,330,664","1,441,857","1,291,666","1,462,502"
29,2022-09-30 00:00:00+00:00,"1,151,900",9,3,4,"1,167,876","1,618,710","1,244,581","1,439,670"
29,2022-10-31 00:00:00+00:00,"1,328,966",10,4,4,"1,151,900","1,601,400","1,216,813","1,400,769"
29,2022-11-30 00:00:00+00:00,"1,249,678",11,4,4,"1,328,966","1,576,461","1,216,247","1,378,067"
29,2022-12-31 00:00:00+00:00,"1,364,297",12,4,1,"1,249,678","1,817,829","1,243,514","1,350,835"
29,2023-01-31 00:00:00+00:00,"1,297,171",1,1,1,"1,364,297","1,671,697","1,314,314","1,313,040"
29,2023-02-28 00:00:00+00:00,"1,258,508",2,1,1,"1,297,171","1,351,830","1,303,715","1,281,830"
29,2023-03-31 00:00:00+00:00,"1,342,458",3,1,2,"1,258,508","1,307,961","1,306,659","1,274,053"
29,2023-04-30 00:00:00+00:00,"1,295,835",4,2,2,"1,342,458","1,287,283","1,299,379","1,276,928"
29,2023-05-31 00:00:00+00:00,"1,287,360",5,2,2,"1,295,835","1,309,131","1,298,934","1,277,640"
29,2023-06-30 00:00:00+00:00,"1,313,274",6,2,3,"1,287,360","1,235,202","1,308,551","1,275,826"
29,2023-07-31 00:00:00+00:00,"1,348,108",7,3,3,"1,313,274","1,330,664","1,298,823","1,282,332"
29,2023-08-31 00:00:00+00:00,"1,239,770",8,3,3,"1,348,108","1,167,876","1,316,248","1,283,786"
29,2023-09-30 00:00:00+00:00,"1,205,215",9,3,4,"1,239,770","1,151,900","1,300,384","1,289,777"
29,2023-10-31 00:00:00+00:00,"1,458,695",10,4,4,"1,205,215","1,328,966","1,264,364","1,294,220"
29,2023-11-30 00:00:00+00:00,"1,348,188",11,4,4,"1,458,695","1,249,678","1,301,227","1,305,031"
29,2023-12-31 00:00:00+00:00,"1,500,016",12,4,1,"1,348,188","1,364,297","1,337,366","1,313,240"
29,2024-01-31 00:00:00+00:00,"1,525,908",1,1,1,"1,500,016","1,297,171","1,435,633","1,324,550"
29,2024-02-29 00:00:00+00:00,"1,324,402",2,1,1,"1,525,908","1,258,508","1,458,037","1,343,611"
29,2024-03-31 00:00:00+00:00,"1,278,271",3,1,2,"1,324,402","1,342,458","1,450,109","1,349,102"
29,2024-04-30 00:00:00+00:00,"1,185,559",4,2,2,"1,278,271","1,295,835","1,376,194","1,343,753"
29,2024-05-31 00:00:00+00:00,"1,232,659",5,2,2,"1,185,559","1,287,360","1,262,744","1,334,564"
29,2024-06-30 00:00:00+00:00,"1,228,687",6,2,3,"1,232,659","1,313,274","1,232,163","1,330,005"
29,2024-07-31 00:00:00+00:00,"1,330,031",7,3,3,"1,228,687","1,348,108","1,215,635","1,322,957"
29,2024-08-31 00:00:00+00:00,"1,209,202",8,3,3,"1,330,031","1,239,770","1,263,792","1,321,450"
29,2024-09-30 00:00:00+00:00,"1,101,356",9,3,4,"1,209,202","1,205,215","1,255,974","1,318,903"
30,2021-01-31 00:00:00+00:00,"12,325,575",1,1,1,,,,
30,2021-02-28 00:00:00+00:00,"12,897,143",2,1,1,"12,325,575",,,
30,2021-03-31 00:00:00+00:00,"10,772,511",3,1,2,"12,897,143",,,
30,2021-04-30 00:00:00+00:00,"7,742,777",4,2,2,"10,772,511",,"11,998,410",
30,2021-05-31 00:00:00+00:00,"6,029,447",5,2,2,"7,742,777",,"10,470,810",
30,2021-06-30 00:00:00+00:00,"4,132,833",6,2,3,"6,029,447",,"8,181,578",
30,2021-07-31 00:00:00+00:00,"4,281,988",7,3,3,"4,132,833",,"5,968,352",
30,2021-08-31 00:00:00+00:00,"4,455,484",8,3,3,"4,281,988",,"4,814,756",
30,2021-09-30 00:00:00+00:00,"5,735,806",9,3,4,"4,455,484",,"4,290,102",
30,2021-10-31 00:00:00+00:00,"6,665,083",10,4,4,"5,735,806",,"4,824,426",
30,2021-11-30 00:00:00+00:00,"8,633,193",11,4,4,"6,665,083",,"5,618,791",
30,2021-12-31 00:00:00+00:00,"13,146,901",12,4,1,"8,633,193",,"7,011,361",
30,2022-01-31 00:00:00+00:00,"11,351,144",1,1,1,"13,146,901","12,325,575","9,481,726","8,068,228"
30,2022-02-28 00:00:00+00:00,"8,958,163",2,1,1,"11,351,144","12,897,143","11,043,746","7,987,026"
30,2022-03-31 00:00:00+00:00,"8,251,272",3,1,2,"8,958,163","10,772,511","11,152,069","7,658,777"
30,2022-04-30 00:00:00+00:00,"6,573,364",4,2,2,"8,251,272","7,742,777","9,520,193","7,448,674"
30,2022-05-31 00:00:00+00:00,"4,924,508",5,2,2,"6,573,364","6,029,447","7,927,599","7,351,223"
30,2022-06-30 00:00:00+00:00,"3,916,342",6,2,3,"4,924,508","4,132,833","6,583,048","7,259,145"
30,2022-07-31 00:00:00+00:00,"3,880,105",7,3,3,"3,916,342","4,281,988","5,138,071","7,241,104"
30,2022-08-31 00:00:00+00:00,"3,552,744",8,3,3,"3,880,105","4,455,484","4,240,318","7,207,614"
30,2022-09-30 00:00:00+00:00,"3,847,538",9,3,4,"3,552,744","5,735,806","3,783,063","7,132,385"
30,2022-10-31 00:00:00+00:00,"5,125,510",10,4,4,"3,847,538","6,665,083","3,760,129","6,975,030"
30,2022-11-30 00:00:00+00:00,"6,190,653",11,4,4,"5,125,510","8,633,193","4,175,264","6,846,732"
30,2022-12-31 00:00:00+00:00,"7,999,165",12,4,1,"6,190,653","13,146,901","5,054,567","6,643,187"
30,2023-01-31 00:00:00+00:00,"8,005,001",1,1,1,"7,999,165","11,351,144","6,438,442","6,214,209"
30,2023-02-28 00:00:00+00:00,"7,795,966",2,1,1,"8,005,001","8,958,163","7,398,273","5,935,364"
30,2023-03-31 00:00:00+00:00,"8,096,030",3,1,2,"7,795,966","8,251,272","7,933,377","5,838,514"
30,2023-04-30 00:00:00+00:00,"6,024,399",4,2,2,"8,096,030","6,573,364","7,965,666","5,825,577"
30,2023-05-31 00:00:00+00:00,"4,709,964",5,2,2,"6,024,399","4,924,508","7,305,465","5,779,830"
30,2023-06-30 00:00:00+00:00,"4,051,173",6,2,3,"4,709,964","3,916,342","6,276,798","5,761,951"
30,2023-07-31 00:00:00+00:00,"3,944,351",7,3,3,"4,051,173","3,880,105","4,928,512","5,773,187"
30,2023-08-31 00:00:00+00:00,"3,752,298",8,3,3,"3,944,351","3,552,744","4,235,163","5,778,541"
30,2023-09-30 00:00:00+00:00,"4,051,718",9,3,4,"3,752,298","3,847,538","3,915,941","5,795,171"
30,2023-10-31 00:00:00+00:00,"6,986,214",10,4,4,"4,051,718","5,125,510","3,916,122","5,812,186"
30,2023-11-30 00:00:00+00:00,"8,425,720",11,4,4,"6,986,214","6,190,653","4,930,076","5,967,244"
30,2023-12-31 00:00:00+00:00,"10,684,365",12,4,1,"8,425,720","7,999,165","6,487,884","6,153,500"
30,2024-01-31 00:00:00+00:00,"11,992,313",1,1,1,"10,684,365","8,005,001","8,698,766","6,377,266"
30,2024-02-29 00:00:00+00:00,"9,778,848",2,1,1,"11,992,313","7,795,966","10,367,466","6,709,542"
30,2024-03-31 00:00:00+00:00,"7,788,810",3,1,2,"9,778,848","8,096,030","10,818,508","6,874,783"
30,2024-04-30 00:00:00+00:00,"6,669,365",4,2,2,"7,788,810","6,024,399","9,853,323","6,849,181"
30,2024-05-31 00:00:00+00:00,"4,545,011",5,2,2,"6,669,365","4,709,964","8,079,008","6,902,928"
30,2024-06-30 00:00:00+00:00,"3,773,723",6,2,3,"4,545,011","4,051,173","6,334,395","6,889,182"
30,2024-07-31 00:00:00+00:00,"3,981,655",7,3,3,"3,773,723","3,944,351","4,996,033","6,866,061"
30,2024-08-31 00:00:00+00:00,"3,898,803",8,3,3,"3,981,655","3,752,298","4,100,130","6,869,170"
30,2024-09-30 00:00:00+00:00,"3,901,537",9,3,4,"3,898,803","4,051,718","3,884,727","6,881,379"
36,2021-01-31 00:00:00+00:00,"6,967,476",1,1,1,,,,
36,2021-02-28 00:00:00+00:00,"7,011,534",2,1,1,"6,967,476",,,
36,2021-03-31 00:00:00+00:00,"6,076,924",3,1,2,"7,011,534",,,
36,2021-04-30 00:00:00+00:00,"4,699,148",4,2,2,"6,076,924",,"6,685,311",
36,2021-05-31 00:00:00+00:00,"4,035,120",5,2,2,"4,699,148",,"5,929,202",
36,2021-06-30 00:00:00+00:00,"3,405,754",6,2,3,"4,035,120",,"4,937,064",
36,2021-07-31 00:00:00+00:00,"3,283,425",7,3,3,"3,405,754",,"4,046,674",
36,2021-08-31 00:00:00+00:00,"3,025,316",8,3,3,"3,283,425",,"3,574,766",
36,2021-09-30 00:00:00+00:00,"3,368,704",9,3,4,"3,025,316",,"3,238,165",
36,2021-10-31 00:00:00+00:00,"3,808,406",10,4,4,"3,368,704",,"3,225,815",
36,2021-11-30 00:00:00+00:00,"4,692,867",11,4,4,"3,808,406",,"3,400,809",
36,2021-12-31 00:00:00+00:00,"6,452,029",12,4,1,"4,692,867",,"3,956,659",
36,2022-01-31 00:00:00+00:00,"6,042,433",1,1,1,"6,452,029","6,967,476","4,984,434","4,735,559"
36,2022-02-28 00:00:00+00:00,"5,021,781",2,1,1,"6,042,433","7,011,534","5,729,110","4,658,472"
36,2022-03-31 00:00:00+00:00,"4,923,825",3,1,2,"5,021,781","6,076,924","5,838,748","4,492,659"
36,2022-04-30 00:00:00+00:00,"3,948,437",4,2,2,"4,923,825","4,699,148","5,329,346","4,396,567"
36,2022-05-31 00:00:00+00:00,"3,359,841",5,2,2,"3,948,437","4,035,120","4,631,348","4,334,008"
36,2022-06-30 00:00:00+00:00,"2,848,454",6,2,3,"3,359,841","3,405,754","4,077,368","4,277,735"
36,2022-07-31 00:00:00+00:00,"2,827,321",7,3,3,"2,848,454","3,283,425","3,385,577","4,231,293"
36,2022-08-31 00:00:00+00:00,"3,067,201",8,3,3,"2,827,321","3,025,316","3,011,872","4,193,285"
36,2022-09-30 00:00:00+00:00,"3,351,567",9,3,4,"3,067,201","3,368,704","2,914,325","4,196,775"
36,2022-10-31 00:00:00+00:00,"3,868,533",10,4,4,"3,351,567","3,808,406","3,082,029","4,195,347"
36,2022-11-30 00:00:00+00:00,"4,637,671",11,4,4,"3,868,533","4,692,867","3,429,100","4,200,357"
36,2022-12-31 00:00:00+00:00,"5,254,853",12,4,1,"4,637,671","6,452,029","3,952,590","4,195,758"
36,2023-01-31 00:00:00+00:00,"4,993,690",1,1,1,"5,254,853","6,042,433","4,587,019","4,095,993"
36,2023-02-28 00:00:00+00:00,"4,561,448",2,1,1,"4,993,690","5,021,781","4,962,072","4,008,598"
36,2023-03-31 00:00:00+00:00,"4,515,389",3,1,2,"4,561,448","4,923,825","4,936,664","3,970,237"
36,2023-04-30 00:00:00+00:00,"3,222,066",4,2,2,"4,515,389","3,948,437","4,690,176","3,936,200"
36,2023-05-31 00:00:00+00:00,"2,805,023",5,2,2,"3,222,066","3,359,841","4,099,634","3,875,669"
36,2023-06-30 00:00:00+00:00,"2,475,858",6,2,3,"2,805,023","2,848,454","3,514,159","3,829,435"
36,2023-07-31 00:00:00+00:00,"2,335,040",7,3,3,"2,475,858","2,827,321","2,834,315","3,798,385"
36,2023-08-31 00:00:00+00:00,"2,642,201",8,3,3,"2,335,040","3,067,201","2,538,640","3,757,362"
36,2023-09-30 00:00:00+00:00,"2,739,976",9,3,4,"2,642,201","3,351,567","2,484,366","3,721,945"
36,2023-10-31 00:00:00+00:00,"3,573,606",10,4,4,"2,739,976","3,868,533","2,572,406","3,670,979"
36,2023-11-30 00:00:00+00:00,"4,231,344",11,4,4,"3,573,606","4,637,671","2,985,261","3,646,402"
36,2023-12-31 00:00:00+00:00,"4,499,071",12,4,1,"4,231,344","5,254,853","3,514,975","3,612,541"
36,2024-01-31 00:00:00+00:00,"5,334,948",1,1,1,"4,499,071","4,993,690","4,101,340","3,549,559"
36,2024-02-29 00:00:00+00:00,"4,531,183",2,1,1,"5,334,948","4,561,448","4,688,454","3,577,997"
36,2024-03-31 00:00:00+00:00,"3,825,291",3,1,2,"4,531,183","4,515,389","4,788,401","3,575,475"
36,2024-04-30 00:00:00+00:00,"3,366,870",4,2,2,"3,825,291","3,222,066","4,563,807","3,517,967"
36,2024-05-31 00:00:00+00:00,"2,481,589",5,2,2,"3,366,870","2,805,023","3,907,781","3,530,034"
36,2024-06-30 00:00:00+00:00,"2,015,672",6,2,3,"2,481,589","2,475,858","3,224,583","3,503,081"
36,2024-07-31 00:00:00+00:00,"2,026,391",7,3,3,"2,015,672","2,335,040","2,621,377","3,464,732"
36,2024-08-31 00:00:00+00:00,"2,214,424",8,3,3,"2,026,391","2,642,201","2,174,551","3,439,012"
36,2024-09-30 00:00:00+00:00,"2,384,464",9,3,4,"2,214,424","2,739,976","2,085,496","3,403,364"
37,2021-01-31 00:00:00+00:00,"2,103,379",1,1,1,,,,
37,2021-02-28 00:00:00+00:00,"1,921,798",2,1,1,"2,103,379",,,
37,2021-03-31 00:00:00+00:00,"1,935,446",3,1,2,"1,921,798",,,
37,2021-04-30 00:00:00+00:00,"1,703,748",4,2,2,"1,935,446",,"1,986,874",
37,2021-05-31 00:00:00+00:00,"1,636,593",5,2,2,"1,703,748",,"1,853,664",
37,2021-06-30 00:00:00+00:00,"1,504,161",6,2,3,"1,636,593",,"1,758,596",
37,2021-07-31 00:00:00+00:00,"1,635,746",7,3,3,"1,504,161",,"1,614,834",
37,2021-08-31 00:00:00+00:00,"1,576,370",8,3,3,"1,635,746",,"1,592,166",
37,2021-09-30 00:00:00+00:00,"1,615,451",9,3,4,"1,576,370",,"1,572,092",
37,2021-10-31 00:00:00+00:00,"1,747,719",10,4,4,"1,615,451",,"1,609,189",
37,2021-11-30 00:00:00+00:00,"1,814,131",11,4,4,"1,747,719",,"1,646,513",
37,2021-12-31 00:00:00+00:00,"2,062,742",12,4,1,"1,814,131",,"1,725,767",
37,2022-01-31 00:00:00+00:00,"2,020,967",1,1,1,"2,062,742","2,103,379","1,874,864","1,771,440"
37,2022-02-28 00:00:00+00:00,"1,737,783",2,1,1,"2,020,967","1,921,798","1,965,947","1,764,573"
37,2022-03-31 00:00:00+00:00,"1,791,372",3,1,2,"1,737,783","1,935,446","1,940,497","1,749,238"
37,2022-04-30 00:00:00+00:00,"1,643,034",4,2,2,"1,791,372","1,703,748","1,850,041","1,737,232"
37,2022-05-31 00:00:00+00:00,"1,572,208",5,2,2,"1,643,034","1,636,593","1,724,063","1,732,172"
37,2022-06-30 00:00:00+00:00,"1,437,891",6,2,3,"1,572,208","1,504,161","1,668,871","1,726,807"
37,2022-07-31 00:00:00+00:00,"1,559,277",7,3,3,"1,437,891","1,635,746","1,551,044","1,721,284"
37,2022-08-31 00:00:00+00:00,"1,502,909",8,3,3,"1,559,277","1,576,370","1,523,125","1,714,912"
37,2022-09-30 00:00:00+00:00,"1,461,811",9,3,4,"1,502,909","1,615,451","1,500,026","1,708,790"
37,2022-10-31 00:00:00+00:00,"1,558,119",10,4,4,"1,461,811","1,747,719","1,507,999","1,695,987"
37,2022-11-30 00:00:00+00:00,"1,605,457",11,4,4,"1,558,119","1,814,131","1,507,613","1,680,187"
37,2022-12-31 00:00:00+00:00,"1,727,838",12,4,1,"1,605,457","2,062,742","1,541,796","1,662,797"
37,2023-01-31 00:00:00+00:00,"1,698,120",1,1,1,"1,727,838","2,020,967","1,630,471","1,634,889"
37,2023-02-28 00:00:00+00:00,"1,517,673",2,1,1,"1,698,120","1,737,783","1,677,138","1,607,985"
37,2023-03-31 00:00:00+00:00,"1,612,207",3,1,2,"1,517,673","1,791,372","1,647,877","1,589,642"
37,2023-04-30 00:00:00+00:00,"1,449,735",4,2,2,"1,612,207","1,643,034","1,609,333","1,574,712"
37,2023-05-31 00:00:00+00:00,"1,396,920",5,2,2,"1,449,735","1,572,208","1,526,538","1,558,604"
37,2023-06-30 00:00:00+00:00,"1,327,452",6,2,3,"1,396,920","1,437,891","1,486,287","1,543,996"
37,2023-07-31 00:00:00+00:00,"1,392,224",7,3,3,"1,327,452","1,559,277","1,391,369","1,534,793"
37,2023-08-31 00:00:00+00:00,"1,434,045",8,3,3,"1,392,224","1,502,909","1,372,199","1,520,872"
37,2023-09-30 00:00:00+00:00,"1,399,342",9,3,4,"1,434,045","1,461,811","1,384,574","1,515,133"
37,2023-10-31 00:00:00+00:00,"1,509,305",10,4,4,"1,399,342","1,558,119","1,408,537","1,509,928"
37,2023-11-30 00:00:00+00:00,"1,554,594",11,4,4,"1,509,305","1,605,457","1,447,564","1,505,860"
37,2023-12-31 00:00:00+00:00,"1,699,045",12,4,1,"1,554,594","1,727,838","1,487,747","1,501,621"
37,2024-01-31 00:00:00+00:00,"1,695,511",1,1,1,"1,699,045","1,698,120","1,587,648","1,499,222"
37,2024-02-29 00:00:00+00:00,"1,501,586",2,1,1,"1,695,511","1,517,673","1,649,716","1,499,004"
37,2024-03-31 00:00:00+00:00,"1,515,643",3,1,2,"1,501,586","1,612,207","1,632,047","1,497,664"
37,2024-04-30 00:00:00+00:00,"1,423,304",4,2,2,"1,515,643","1,449,735","1,570,913","1,489,617"
37,2024-05-31 00:00:00+00:00,"1,399,688",5,2,2,"1,423,304","1,396,920","1,480,178","1,487,414"
37,2024-06-30 00:00:00+00:00,"1,355,557",6,2,3,"1,399,688","1,327,452","1,446,212","1,487,645"
37,2024-07-31 00:00:00+00:00,"1,436,669",7,3,3,"1,355,557","1,392,224","1,392,850","1,489,987"
37,2024-08-31 00:00:00+00:00,"1,366,744",8,3,3,"1,436,669","1,434,045","1,397,305","1,493,691"
37,2024-09-30 00:00:00+00:00,"1,342,729",9,3,4,"1,366,744","1,399,342","1,386,323","1,488,082"
38,2021-01-31 00:00:00+00:00,"8,358,033",1,1,1,,,,
38,2021-02-28 00:00:00+00:00,"8,221,135",2,1,1,"8,358,033",,,
38,2021-03-31 00:00:00+00:00,"7,189,865",3,1,2,"8,221,135",,,
38,2021-04-30 00:00:00+00:00,"5,523,614",4,2,2,"7,189,865",,"7,923,011",
38,2021-05-31 00:00:00+00:00,"4,659,153",5,2,2,"5,523,614",,"6,978,205",
38,2021-06-30 00:00:00+00:00,"3,635,920",6,2,3,"4,659,153",,"5,790,877",
38,2021-07-31 00:00:00+00:00,"3,781,469",7,3,3,"3,635,920",,"4,606,229",
38,2021-08-31 00:00:00+00:00,"3,938,567",8,3,3,"3,781,469",,"4,025,514",
38,2021-09-30 00:00:00+00:00,"4,699,803",9,3,4,"3,938,567",,"3,785,318",
38,2021-10-31 00:00:00+00:00,"5,322,306",10,4,4,"4,699,803",,"4,139,946",
38,2021-11-30 00:00:00+00:00,"6,385,349",11,4,4,"5,322,306",,"4,653,559",
38,2021-12-31 00:00:00+00:00,"8,799,877",12,4,1,"6,385,349",,"5,469,153",
38,2022-01-31 00:00:00+00:00,"8,485,231",1,1,1,"8,799,877","8,358,033","6,835,844","5,876,258"
38,2022-02-28 00:00:00+00:00,"6,905,615",2,1,1,"8,485,231","8,221,135","7,890,152","5,886,857"
38,2022-03-31 00:00:00+00:00,"6,905,052",3,1,2,"6,905,615","7,189,865","8,063,574","5,777,231"
38,2022-04-30 00:00:00+00:00,"5,768,139",4,2,2,"6,905,052","5,523,614","7,431,966","5,753,496"
38,2022-05-31 00:00:00+00:00,"4,717,367",5,2,2,"5,768,139","4,659,153","6,526,269","5,773,873"
38,2022-06-30 00:00:00+00:00,"3,731,626",6,2,3,"4,717,367","3,635,920","5,796,853","5,778,725"
38,2022-07-31 00:00:00+00:00,"3,742,497",7,3,3,"3,731,626","3,781,469","4,739,044","5,786,700"
38,2022-08-31 00:00:00+00:00,"3,662,103",8,3,3,"3,742,497","3,938,567","4,063,830","5,783,452"
38,2022-09-30 00:00:00+00:00,"4,164,250",9,3,4,"3,662,103","4,699,803","3,712,075","5,760,414"
38,2022-10-31 00:00:00+00:00,"4,853,604",10,4,4,"4,164,250","5,322,306","3,856,284","5,715,784"
38,2022-11-30 00:00:00+00:00,"5,931,643",11,4,4,"4,853,604","6,385,349","4,226,652","5,676,726"
38,2022-12-31 00:00:00+00:00,"7,100,157",12,4,1,"5,931,643","8,799,877","4,983,165","5,638,917"
38,2023-01-31 00:00:00+00:00,"6,856,539",1,1,1,"7,100,157","8,485,231","5,961,801","5,497,274"
38,2023-02-28 00:00:00+00:00,"6,410,065",2,1,1,"6,856,539","6,905,615","6,629,446","5,361,549"
38,2023-03-31 00:00:00+00:00,"6,564,467",3,1,2,"6,410,065","6,905,052","6,788,920","5,320,253"
38,2023-04-30 00:00:00+00:00,"5,019,772",4,2,2,"6,564,467","5,768,139","6,610,357","5,291,871"
38,2023-05-31 00:00:00+00:00,"4,091,640",5,2,2,"5,019,772","4,717,367","5,998,101","5,229,507"
